price,quantity,type,timestamp
37949000,0.0732,1,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37939000,0.5334,0,2022/05/22 15:28
37938000,4.1866,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,0.0115,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37949000,0.0732,1,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37939000,0.5334,0,2022/05/22 15:28
37938000,4.1866,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,0.0115,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37957000,0.1361,1,2022/05/22 15:28
37939000,0.5334,0,2022/05/22 15:28
37938000,4.1866,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,0.0115,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37950000,9.5944,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37957000,0.1361,1,2022/05/22 15:28
37939000,0.5334,0,2022/05/22 15:28
37938000,4.1866,0,2022/05/22 15:28
37937000,0.0386,0,2022/05/22 15:28
37936000,0.0115,0,2022/05/22 15:28
37935000,0.0961,0,2022/05/22 15:28
37950000,9.5943,1,2022/05/22 15:28
37951000,0.1506,1,2022/05/22 15:28
37953000,0.0305,1,2022/05/22 15:28
37956000,0.4733,1,2022/05/22 15:28
37957000,0.1361,1,2022/05/22 15:28
37939000,0.5334,0,2022/05/22 15:29
37938000,4.1866,0,2022/05/22 15:29
37937000,0.0386,0,2022/05/22 15:29
37936000,0.0115,0,2022/05/22 15:29
37935000,0.0961,0,2022/05/22 15:29
37950000,9.5943,1,2022/05/22 15:29
37951000,0.1506,1,2022/05/22 15:29
37953000,0.0305,1,2022/05/22 15:29
37956000,0.4733,1,2022/05/22 15:29
37957000,0.1361,1,2022/05/22 15:29
37939000,0.5334,0,2022/05/22 15:29
37938000,4.1866,0,2022/05/22 15:29
37937000,0.0386,0,2022/05/22 15:29
37936000,0.0115,0,2022/05/22 15:29
37935000,0.0961,0,2022/05/22 15:29
37950000,9.5943,1,2022/05/22 15:29
37951000,0.1506,1,2022/05/22 15:29
37953000,0.0305,1,2022/05/22 15:29
37956000,0.4733,1,2022/05/22 15:29
37957000,0.1361,1,2022/05/22 15:29
37939000,0.5334,0,2022/05/22 15:29
37938000,4.1866,0,2022/05/22 15:29
37937000,0.0386,0,2022/05/22 15:29
37936000,0.0115,0,2022/05/22 15:29
37935000,0.1719,0,2022/05/22 15:29
37950000,9.5741,1,2022/05/22 15:29
37951000,0.1506,1,2022/05/22 15:29
37953000,0.0305,1,2022/05/22 15:29
37956000,0.4733,1,2022/05/22 15:29
37957000,0.1361,1,2022/05/22 15:29
37941000,0.0802,0,2022/05/22 15:29
37939000,0.5333,0,2022/05/22 15:29
37938000,4.1866,0,2022/05/22 15:29
37937000,0.0386,0,2022/05/22 15:29
37936000,0.0115,0,2022/05/22 15:29
37950000,8.7905,1,2022/05/22 15:29
37951000,0.1028,1,2022/05/22 15:29
37953000,0.0305,1,2022/05/22 15:29
37956000,0.1075,1,2022/05/22 15:29
37957000,0.0507,1,2022/05/22 15:29
37939000,0.5333,0,2022/05/22 15:29
37938000,4.1562,0,2022/05/22 15:29
37937000,0.0386,0,2022/05/22 15:29
37936000,0.0115,0,2022/05/22 15:29
37935000,0.0961,0,2022/05/22 15:29
37950000,8.7905,1,2022/05/22 15:29
37951000,0.1028,1,2022/05/22 15:29
37953000,0.0305,1,2022/05/22 15:29
37956000,0.1075,1,2022/05/22 15:29
37957000,0.0507,1,2022/05/22 15:29
37939000,0.5333,0,2022/05/22 15:29
37938000,4.1562,0,2022/05/22 15:29
37937000,0.0386,0,2022/05/22 15:29
37936000,0.0115,0,2022/05/22 15:29
37935000,0.0961,0,2022/05/22 15:29
37950000,8.7905,1,2022/05/22 15:29
37951000,0.1028,1,2022/05/22 15:29
37953000,0.0305,1,2022/05/22 15:29
37956000,0.1075,1,2022/05/22 15:29
37957000,0.0507,1,2022/05/22 15:29
